"filename", "language", "Dart", "YAML", "Gradle", "Markdown", "XML", "Java Properties", "JSON", "C++", "Swift", "HTML", "comment", "blank", "total"
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/constants/text.styles.dart", "Dart", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 65
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/constants/theme.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 61
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/constants/translation.dart", "Dart", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 87
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/firebase_options.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 84
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/l10n/app_en.arb", "JSON", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 43
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/l10n/app_fa.arb", "JSON", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 43
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/main.dart", "Dart", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 24, 238
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/models/coupon.model.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/models/link.model.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/models/login.model.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/models/user.model.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 64
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/services/api.services.dart", "Dart", 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 55, 421
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/services/base.service.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/services/notification.services.dart", "Dart", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 124
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/services/register.service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/services/socket.services.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/services/upload.services.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/components/categories/categories.box.dart", "Dart", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/components/categories/categories.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/components/comments/comments.dart", "Dart", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 169
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/components/coupon/coupon.dart", "Dart", 692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 704
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/extensions/string.extension.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/contacts/contacts.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 75
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/profile/analytics/followers/followers.profile.dart", "Dart", 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 305
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/profile/analytics/followings/followings.profile.dart", "Dart", 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 311
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/profile/analytics/view.dart", "Dart", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 108
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/profile/chats/chats.dart", "Dart", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/profile/links/links.dart", "Dart", 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 412
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/profile/profile.get.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/profile/view.dart", "Dart", 1074, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 1097
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/register/login/forget/forget.dart", "Dart", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 84
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/register/login/login.dart", "Dart", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 186
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/register/signup/email/email.dart", "Dart", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 111
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/register/signup/password/password.dart", "Dart", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 131
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/register/signup/username/username.dart", "Dart", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 116
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/settings/about/about.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/settings/fonts/view.dart", "Dart", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/settings/help/view.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/settings/language/view.dart", "Dart", 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 708
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/settings/proxy/view.dart", "Dart", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 152
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/settings/settings.get.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/settings/update/view.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/settings/view.dart", "Dart", 567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 579
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/account/view.dart", "Dart", 599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 617
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/categories/categories.dart", "Dart", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 64
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/coupon/comments/comments.coupon.dart", "Dart", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 109
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/coupon/coupon.dart", "Dart", 588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 599
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/coupon/new/new.coupon.dart", "Dart", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 158
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/home/home.dart", "Dart", 414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 430
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/notifications/view.dart", "Dart", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 145
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/soon/view.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/pages/web/web.page.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/widgets/appbar/appbar.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 119
